,nonsense,arabic,english 
2601,لون 0000,لون ,color
2602,قادمون 0000,قادمون ,Coming
2603,هربت 0000,هربت ,I fled
2604,صوتك 0000,صوتك ,Your voice
2605,واضحة 0000,واضحة ,Clear
2606,لوسي 0000,لوسي ,Lucy
2607,أحببت 0000,أحببت ,I loved
2608,الذهب 0000,الذهب ,gold
2609,سأبقى 0000,سأبقى ,I will stay
2610,قريبة 0000,قريبة ,female relative
2611,مقرف 0000,مقرف ,disgusting
2612,وأبوس 0000,وأبوس ,And Abous
2613,مشروع 0000,مشروع ,project
2614,قراءة 0000,قراءة ,reading
2615,فرنسا 0000,فرنسا ,France
2616,شجرة 0000,شجرة ,Tree
2617,تلقيت 0000,تلقيت ,I received
2618,موسيقى 0000,موسيقى ,Music
2619,جايك 0000,جايك ,Jake
2620,الخامس 0000,الخامس ,Fifth
2621,تفعلون 0000,تفعلون ,You do
2622,المغادرة 0000,المغادرة ,Departure
2623,هومر 0000,هومر ,Homer
2624,خسرت 0000,خسرت ,I lost
2625,إس 0000,إس ,S
2626,المرحلة 0000,المرحلة ,Stage
2627,اصبحت 0000,اصبحت ,I became
2628,لانك 0000,لانك ,because you are
2629,للأعلى 0000,للأعلى ,to up
2630,الإنترنت 0000,الإنترنت ,Internet
2631,القرن 0000,القرن ,Century
2632,اخبرتك 0000,اخبرتك ,I told you
2633,عمرك 0000,عمرك ,Your age
2634,علاقتنا 0000,علاقتنا ,Our relationship
2635,أخبرته 0000,أخبرته ,I told him
2636,القنبلة 0000,القنبلة ,the bomb
2637,الخدمة 0000,الخدمة ,the service
2638,آخرين 0000,آخرين ,Others
2639,ذكية 0000,ذكية ,Smart
2640,للبحث 0000,للبحث ,Search
2641,نقود 0000,نقود ,cash
2642,تحدثنا 0000,تحدثنا ,We talked
2643,لرجل 0000,لرجل ,For a man
2644,الأماكن 0000,الأماكن ,the places
2645,إدارة 0000,إدارة ,Management
2646,لشيء 0000,لشيء ,For something
2647,تفهمين 0000,تفهمين ,Understanding
2648,ليكون 0000,ليكون ,To be
2649,غضون 0000,غضون ,Anesthetic
2650,أدفع 0000,أدفع ,Push
2651,فريد 0000,فريد ,Unique
2652,أعظم 0000,أعظم ,greatest
2653,الأمل 0000,الأمل ,Hope
2654,يخبرني 0000,يخبرني ,He tells me
2655,السعادة 0000,السعادة ,His Excellency
2656,واحدا 0000,واحدا ,One
2657,أمسك 0000,أمسك ,Catch
2658,إسمه 0000,إسمه ,its name
2659,تسعة 0000,تسعة ,nine
2660,رجلا 0000,رجلا ,Man
2661,أسمح 0000,أسمح ,Suggest
2662,جزيرة 0000,جزيرة ,Island
2663,الأدلة 0000,الأدلة ,Evidence
2664,مهتم 0000,مهتم ,interested
2665,بمكان 0000,بمكان ,In a place
2666,الاولى 0000,الاولى ,The first
2667,بوجود 0000,بوجود ,Exist
2668,أجله 0000,أجله ,Sake
2669,مزحة 0000,مزحة ,a joke
2670,التصرف 0000,التصرف ,Behavior
2671,دعه 0000,دعه ,Leave it
2672,العلوي 0000,العلوي ,Alevi
2673,لأول 0000,لأول ,For the first
2674,لأكون 0000,لأكون ,To be
2675,ألست 0000,ألست ,Not
2676,الجنرال 0000,الجنرال ,The general
2677,حلوى 0000,حلوى ,Candy
2678,الحضور 0000,الحضور ,Attendees
2679,فينس 0000,فينس ,Vince
2680,كفى 0000,كفى ,Is enough
2681,ريك 0000,ريك ,Rick
2682,سعداء 0000,سعداء ,Happy
2683,أدركت 0000,أدركت ,I realized
2684,أجمل 0000,أجمل ,The most beautiful
2685,أختك 0000,أختك ,your sister
2686,الدليل 0000,الدليل ,Guide
2687,ضخم 0000,ضخم ,enormous
2688,بهدوء 0000,بهدوء ,quietly
2689,اصدق 0000,اصدق ,believe
2690,العاشرة 0000,العاشرة ,tenth
2691,الهند 0000,الهند ,India
2692,الحي 0000,الحي ,Neighborhood
2693,عم 0000,عم ,paternal uncle
2694,شقة 0000,شقة ,apartment
2695,of 0000,of ,of
2696,بعمر 0000,بعمر ,Age
2697,تستمع 0000,تستمع ,she listens
2698,جماعة 0000,جماعة ,group
2699,الفيدرالية 0000,الفيدرالية ,Federalism
2700,جونز 0000,جونز ,Jones
2701,يقود 0000,يقود ,Lead
2702,البيانات 0000,البيانات ,data
2703,السير 0000,السير ,Walk
2704,ابنتك 0000,ابنتك ,your daughter
2705,الكابتن 0000,الكابتن ,Captain
2706,يتحرك 0000,يتحرك ,Move
2707,يطلق 0000,يطلق ,launch
2708,أصدقائك 0000,أصدقائك ,Your friends
2709,إننى 0000,إننى ,I am
2710,ايام 0000,ايام ,days
2711,ماك 0000,ماك ,Mac
2712,إتصل 0000,إتصل ,Call
2713,معقول 0000,معقول ,reasonable
2714,الأغنية 0000,الأغنية ,the song
2715,عيني 0000,عيني ,Eyes
2716,وحده 0000,وحده ,lonliness
2717,لسبب 0000,لسبب ,For
2718,الشرطي 0000,الشرطي ,policeman
2719,تقومين 0000,تقومين ,You are doing
2720,شاذ 0000,شاذ ,anomaly
2721,الشوارع 0000,الشوارع ,Streets
2722,مسرور 0000,مسرور ,pleased
2723,سيارات 0000,سيارات ,Cars
2724,فما 0000,فما ,So
2725,ينتظر 0000,ينتظر ,Waiting
2726,التخلص 0000,التخلص ,get rid of
2727,أسهل 0000,أسهل ,Easier
2728,أكذب 0000,أكذب ,I lie
2729,الأوقات 0000,الأوقات ,times
2730,التدريب 0000,التدريب ,Training
2731,سعيدا 0000,سعيدا ,Happy
2732,سأراك 0000,سأراك ,I'll see you
2733,زي 0000,زي ,costume
2734,نجحت 0000,نجحت ,I passed
2735,مشغولة 0000,مشغولة ,busy
2736,بالتحديد 0000,بالتحديد ,particulary
2737,بحلول 0000,بحلول ,By solutions
2738,زاك 0000,زاك ,Zack
2739,الشكر 0000,الشكر ,Thanks
2740,الإثنان 0000,الإثنان ,The two
2741,ستصبح 0000,ستصبح ,You will become
2742,السلطة 0000,السلطة ,Authority
2743,تعرض 0000,تعرض ,exposure
2744,يحاولون 0000,يحاولون ,They try
2745,اية 0000,اية ,any
2746,translated 0000,translated ,Translated
2747,أبيض 0000,أبيض ,white
2748,أمن 0000,أمن ,security
2749,جيل 0000,جيل ,generation
2750,العدو 0000,العدو ,the enemy
2751,لكنت 0000,لكنت ,I got
2752,ستيفن 0000,ستيفن ,Steven
2753,تصديق 0000,تصديق ,ratification
2754,وقتها 0000,وقتها ,At that time
2755,التاسعة 0000,التاسعة ,Ninth
2756,كونك 0000,كونك ,Being
2757,العنوان 0000,العنوان ,the address
2758,بارت 0000,بارت ,Bart
2759,عجوز 0000,عجوز ,old person
2760,جزيلا 0000,جزيلا ,So much
2761,اراك 0000,اراك ,See you
2762,طريقنا 0000,طريقنا ,Our way
2763,اقل 0000,اقل ,Less
2764,إسمي 0000,إسمي ,My name is
2765,الحرية 0000,الحرية ,Freedom
2766,ديريك 0000,ديريك ,Derek
2767,بقي 0000,بقي ,stayed
2768,قضاء 0000,قضاء ,Judiciary
2769,صنعت 0000,صنعت ,Manufactured
2770,m 0000,m ,m
2771,يقف 0000,يقف ,stands up
2772,الوحدة 0000,الوحدة ,Unit
2773,قتلي 0000,قتلي ,Killing
2774,التنفس 0000,التنفس ,Breathing
2775,ليزا 0000,ليزا ,Lisa
2776,ياله 0000,ياله ,Oh
2777,لين 0000,لين ,flexible
2778,الواحد 0000,الواحد ,the one
2779,اكتشفت 0000,اكتشفت ,I discovered
2780,لرؤيتك 0000,لرؤيتك ,to see you
2781,معركة 0000,معركة ,battle
2782,تسبب 0000,تسبب ,it causes
2783,لوحدك 0000,لوحدك ,On your own
2784,ولكنى 0000,ولكنى ,But
2785,زوي 0000,زوي ,Decay
2786,حيوان 0000,حيوان ,animal
2787,نظر 0000,نظر ,consideration
2788,سرق 0000,سرق ,to steal
2789,كريم 0000,كريم ,generous
2790,اليد 0000,اليد ,Hand
2791,أعترف 0000,أعترف ,He confessed
2792,الجمال 0000,الجمال ,beauty
2793,جعلني 0000,جعلني ,Make me
2794,عنى 0000,عنى ,About Me
2795,ونصف 0000,ونصف ,Half
2796,الصبي 0000,الصبي ,Boy
2797,طرق 0000,طرق ,Methods
2798,حدوث 0000,حدوث ,happening
2799,المستوى 0000,المستوى ,the level
2800,اليمين 0000,اليمين ,right
2801,اترك 0000,اترك ,Leave
2802,كوين 0000,كوين ,Queen
2803,تقع 0000,تقع ,Located
2804,غرفتي 0000,غرفتي ,My room
2805,الفراش 0000,الفراش ,Bed
2806,ألعب 0000,ألعب ,I play
2807,أكان 0000,أكان ,Was it
2808,مناسبة 0000,مناسبة ,suitable
2809,ممتعة 0000,ممتعة ,Fun
2810,توقعت 0000,توقعت ,I expected
2811,العمليات 0000,العمليات ,Processes
2812,الحكم 0000,الحكم ,Ruling
2813,خدعة 0000,خدعة ,Trick
2814,صديقى 0000,صديقى ,my friend
2815,دخول 0000,دخول ,Entry
2816,كاري 0000,كاري ,curry
2817,الجهاز 0000,الجهاز ,the device
2818,الرصاص 0000,الرصاص ,Lead
2819,أترين 0000,أترين ,Etreen
2820,اليسار 0000,اليسار ,the left
2821,يصدق 0000,يصدق ,Believe
2822,دورك 0000,دورك ,Your turn
2823,الأوان 0000,الأوان ,Time
2824,شبكة 0000,شبكة ,Network
2825,عصابة 0000,عصابة ,Gang
2826,حدود 0000,حدود ,border
2827,السوق 0000,السوق ,market
2828,القواعد 0000,القواعد ,the rules
2829,مستشفى 0000,مستشفى ,hospital
2830,احدهم 0000,احدهم ,One of them
2831,الكحول 0000,الكحول ,Alcohol
2832,انتبه 0000,انتبه ,Whatch out
2833,سأحاول 0000,سأحاول ,I'll try
2834,هجوم 0000,هجوم ,attacks
2835,أتمكن 0000,أتمكن ,I can
2836,أعضاء 0000,أعضاء ,Members
2837,رفيق 0000,رفيق ,Companion
2838,هما 0000,هما ,They
2839,إسمعي 0000,إسمعي ,Listen
2840,طابت 0000,طابت ,Good
2841,إخبارك 0000,إخبارك ,your news
2842,الغضب 0000,الغضب ,Anger
2843,البشرية 0000,البشرية ,Humanity
2844,يعلمون 0000,يعلمون ,They know
2845,الظهر 0000,الظهر ,noon
2846,الإنسان 0000,الإنسان ,The human
2847,الرائعة 0000,الرائعة ,Gorgeous
2848,المشتبه 0000,المشتبه ,Suspect
2849,الاثنان 0000,الاثنان ,The two
2850,المستحيل 0000,المستحيل ,Impossible
2851,ليسا 0000,ليسا ,Lisa
2852,تمكنت 0000,تمكنت ,I managed
2853,سر 0000,سر ,Secret
2854,فخور 0000,فخور ,proud
2855,مالك 0000,مالك ,Owner
2856,أسلحة 0000,أسلحة ,arms
2857,المسألة 0000,المسألة ,Issue
2858,للخلف 0000,للخلف ,backwards
2859,فوضى 0000,فوضى ,Mess
2860,دعوني 0000,دعوني ,Leave me
2861,that 0000,that ,That
2862,عمرها 0000,عمرها ,Its life
2863,الطوارئ 0000,الطوارئ ,Emergency
2864,يفكر 0000,يفكر ,Think
2865,نار 0000,نار ,Fire
2866,وحش 0000,وحش ,Monster
2867,بجدية 0000,بجدية ,seriously
2868,القرية 0000,القرية ,the village
2869,بشئ 0000,بشئ ,With something
2870,المتجر 0000,المتجر ,the shop
2871,سينتهي 0000,سينتهي ,It will end
2872,اكبر 0000,اكبر ,Larger
2873,الدفع 0000,الدفع ,paying off
2874,يسير 0000,يسير ,Walking
2875,المجتمع 0000,المجتمع ,the society
2876,الحائط 0000,الحائط ,the wall
2877,السباحة 0000,السباحة ,Swimming
2878,الشقة 0000,الشقة ,Flat
2879,جادة 0000,جادة ,Avenue
2880,uh 0000,uh ,UH
2881,يترك 0000,يترك ,Leaves
2882,مررت 0000,مررت ,I passed
2883,تبكي 0000,تبكي ,Cry
2884,الحديقة 0000,الحديقة ,the garden
2885,البدء 0000,البدء ,Starting
2886,نظرت 0000,نظرت ,I looked
2887,تنام 0000,تنام ,Sleep
2888,سيعود 0000,سيعود ,will return
2889,لهنا 0000,لهنا ,Here
2890,اسرع 0000,اسرع ,Faster
2891,القلق 0000,القلق ,Anxiety
2892,الحمراء 0000,الحمراء ,Red
2893,تعملين 0000,تعملين ,You are working
2894,الخمر 0000,الخمر ,Wine
2895,كتابة 0000,كتابة ,writing
2896,يطلب 0000,يطلب ,Requests
2897,المسكين 0000,المسكين ,Poor
2898,سريعة 0000,سريعة ,A quick
2899,أحبها 0000,أحبها ,Love her
2900,تخيل 0000,تخيل ,to imagine
2901,أسوء 0000,أسوء ,Worse
2902,مخيف 0000,مخيف ,scary
2903,المريض 0000,المريض ,the patient
2904,الكعك 0000,الكعك ,Cakes
2905,حمام 0000,حمام ,bathroom
2906,بالطريقة 0000,بالطريقة ,In the way
2907,تقبل 0000,تقبل ,Accept
2908,باتريك 0000,باتريك ,Patrick
2909,يعتبر 0000,يعتبر ,It is considered
2910,الطفلة 0000,الطفلة ,The girl
2911,دفعت 0000,دفعت ,Paid
2912,كوب 0000,كوب ,Glass
2913,إيقاف 0000,إيقاف ,turning off
2914,ترغبين 0000,ترغبين ,You want
2915,بنت 0000,بنت ,Girl
2916,سرية 0000,سرية ,Secrecy
2917,الخبر 0000,الخبر ,the news
2918,تايلر 0000,تايلر ,Tyler
2919,أعوام 0000,أعوام ,Years
2920,شخصي 0000,شخصي ,Personal
2921,روجر 0000,روجر ,Roger
2922,أرجوكم 0000,أرجوكم ,Please
2923,اختبار 0000,اختبار ,a test
2924,الألعاب 0000,الألعاب ,the games
2925,أفعلها 0000,أفعلها ,Do it
2926,السنين 0000,السنين ,Years
2927,نقاط 0000,نقاط ,points
2928,باركر 0000,باركر ,Parker
2929,لازال 0000,لازال ,Still
2930,الرسائل 0000,الرسائل ,Messages
2931,مفتوح 0000,مفتوح ,Open
2932,تتوقع 0000,تتوقع ,Expected
2933,طبيعية 0000,طبيعية ,Natural
2934,يعنيه 0000,يعنيه ,Mean
2935,أحمر 0000,أحمر ,red
2936,العم 0000,العم ,uncle
2937,أيا 0000,أيا ,Either
2938,المرض 0000,المرض ,the disease
2939,أنفسهم 0000,أنفسهم ,themselves
2940,القوانين 0000,القوانين ,Laws
2941,باسم 0000,باسم ,Basim
2942,مولي 0000,مولي ,sire
2943,الشمال 0000,الشمال ,North
2944,اليها 0000,اليها ,to her
2945,الخنزير 0000,الخنزير ,Pig
2946,تشرب 0000,تشرب ,drink
2947,للأسفل 0000,للأسفل ,Below
2948,الدجاج 0000,الدجاج ,Chicken
2949,استخدم 0000,استخدم ,use
2950,الموعد 0000,الموعد ,The appointment
2951,يالها 0000,يالها ,Oh her
2952,وفاة 0000,وفاة ,death
2953,كيفين 0000,كيفين ,Kevin
2954,دولارات 0000,دولارات ,Dollars
2955,كيفن 0000,كيفن ,Kevin
2956,الأطباء 0000,الأطباء ,the doctors
2957,ليلتك 0000,ليلتك ,Your night
2958,أرادت 0000,أرادت ,she wanted
2959,سيدتى 0000,سيدتى ,Madam
2960,الأمير 0000,الأمير ,the prince
2961,رائعه 0000,رائعه ,Fantastic
2962,ترحل 0000,ترحل ,Go
2963,الاشخاص 0000,الاشخاص ,People
2964,أخيرا 0000,أخيرا ,finally
2965,يو 0000,يو ,Yu
2966,ابق 0000,ابق ,Stay
2967,الصغار 0000,الصغار ,Young
2968,قابل 0000,قابل ,Met
2969,تعلمي 0000,تعلمي ,Learning
2970,أصغر 0000,أصغر ,Smaller
2971,البنك 0000,البنك ,the bank
2972,سن 0000,سن ,age
2973,خطأي 0000,خطأي ,My fault
2974,ولدت 0000,ولدت ,I was born
2975,انتظروا 0000,انتظروا ,Wait for
2976,سميث 0000,سميث ,Smith
2977,المطار 0000,المطار ,the airport
2978,عقلي 0000,عقلي ,My mind
2979,typesetting 0000,typesetting ,Typesetting
2980,الضحايا 0000,الضحايا ,Victims
2981,أمامي 0000,أمامي ,In front of me
2982,شريك 0000,شريك ,partner
2983,فات 0000,فات ,Miss
2984,تستمر 0000,تستمر ,Continuing
2985,الأحد 0000,الأحد ,Sunday
2986,الحركة 0000,الحركة ,the movement
2987,إهدأ 0000,إهدأ ,just chill
2988,هاى 0000,هاى ,Hi
2989,لمكان 0000,لمكان ,Place
2990,هيلين 0000,هيلين ,Helen
2991,البلد 0000,البلد ,Country
2992,تدرك 0000,تدرك ,You realize
2993,رسائل 0000,رسائل ,Messages
2994,الجسم 0000,الجسم ,the body
2995,طبعا 0000,طبعا ,naturally
2996,للمرة 0000,للمرة ,For
2997,السماح 0000,السماح ,Allow
2998,اجتماع 0000,اجتماع ,Meeting
2999,فيليب 0000,فيليب ,Philip
3000,fnarabic 0000,fnarabic ,Fnarabic
3001,in 0000,in ,in
3002,تعاني 0000,تعاني ,Suffer
3003,جرائم 0000,جرائم ,crimes
3004,جلب 0000,جلب ,had brought
3005,كأس 0000,كأس ,cup
3006,العلم 0000,العلم ,Science
3007,مذهلة 0000,مذهلة ,Amazing
3008,شعرك 0000,شعرك ,Your hair
3009,خطط 0000,خطط ,Plan
3010,الأرواح 0000,الأرواح ,Souls
3011,ساعدوني 0000,ساعدوني ,Help me
3012,لأجلي 0000,لأجلي ,for me
3013,ريبيكا 0000,ريبيكا ,Rebecca
3014,السباق 0000,السباق ,Race
3015,صعوبة 0000,صعوبة ,difficulty
3016,هولي 0000,هولي ,Holly
3017,اذهبوا 0000,اذهبوا ,Go
3018,للعيش 0000,للعيش ,for living
3019,بوقت 0000,بوقت ,At the time
3020,الإجابة 0000,الإجابة ,the answer
3021,نساء 0000,نساء ,women
3022,تفعلها 0000,تفعلها ,Do it
3023,سايمون 0000,سايمون ,Simon
3024,الطبيعة 0000,الطبيعة ,nature
3025,وحدي 0000,وحدي ,Alone
3026,تقود 0000,تقود ,Lead
3027,اللوحة 0000,اللوحة ,Board
3028,مشاعر 0000,مشاعر ,feelings
3029,الإثنين 0000,الإثنين ,Monday
3030,عشرون 0000,عشرون ,twenty
3031,أكتب 0000,أكتب ,Type
3032,تيري 0000,تيري ,Terry
3033,للوصول 0000,للوصول ,to reach
3034,أوراق 0000,أوراق ,Leaves
3035,يسمى 0000,يسمى ,he is called
3036,انتهينا 0000,انتهينا ,We finished
3037,ستحصل 0000,ستحصل ,You will get
3038,جد 0000,جد ,grandfather
3039,ماركوس 0000,ماركوس ,Marcos
3040,ملابسي 0000,ملابسي ,Mysterious
3041,سرعة 0000,سرعة ,Speed
3042,أنواع 0000,أنواع ,Species
3043,الرئيسية 0000,الرئيسية ,Main
3044,أب 0000,أب ,dad
3045,ظهرت 0000,ظهرت ,Appear
3046,القمامة 0000,القمامة ,Garbage
3047,سأحصل 0000,سأحصل ,I will get
3048,أماندا 0000,أماندا ,Amanda
3049,مرحلة 0000,مرحلة ,Stage
3050,تشغيل 0000,تشغيل ,employment
3051,جعلتني 0000,جعلتني ,Make me
3052,الشيئ 0000,الشيئ ,Thing
3053,خطيرة 0000,خطيرة ,Dangerous
3054,المرات 0000,المرات ,Times
3055,تدعى 0000,تدعى ,Involve
3056,لمساعدتك 0000,لمساعدتك ,To help you
3057,منطقي 0000,منطقي ,Logical
3058,كافي 0000,كافي ,Enough
3059,يحبون 0000,يحبون ,They love
3060,ستفعلين 0000,ستفعلين ,You will do
3061,أخبرها 0000,أخبرها ,tell her
3062,اولا 0000,اولا ,Or not
3063,كوبر 0000,كوبر ,Cooper
3064,الشرف 0000,الشرف ,Honour
3065,اطلاق 0000,اطلاق ,release
3066,بالذنب 0000,بالذنب ,Guilty
3067,الرائحة 0000,الرائحة ,Odor
3068,طيبة 0000,طيبة ,Kind
3069,الولاية 0000,الولاية ,the state
3070,ألقي 0000,ألقي ,cast down
3071,نلعب 0000,نلعب ,We play
3072,نعـم 0000,نعـم ,Blend
3073,لقتل 0000,لقتل ,To kill
3074,الصين 0000,الصين ,China
3075,مرت 0000,مرت ,Pass
3076,اللطيف 0000,اللطيف ,Cute
3077,يكذب 0000,يكذب ,He lies
3078,فقدان 0000,فقدان ,Loss
3079,المحاولة 0000,المحاولة ,Attempt
3080,أمامك 0000,أمامك ,Before you
3081,بعدم 0000,بعدم ,Not
3082,تقومي 0000,تقومي ,Converge
3083,سنين 0000,سنين ,Years old
3084,أجـل 0000,أجـل ,Lapse
3085,تكونوا 0000,تكونوا ,You are
3086,أسبوعين 0000,أسبوعين ,Two weeks
3087,جمع 0000,جمع ,plural
3088,دونا 0000,دونا ,Without a
3089,المرء 0000,المرء ,One
3090,الخطر 0000,الخطر ,Risk
3091,الكلية 0000,الكلية ,the college
3092,مكتوب 0000,مكتوب ,written
3093,الشر 0000,الشر ,Evil
3094,فكره 0000,فكره ,an idea
3095,لاعب 0000,لاعب ,Player
3096,الحمقى 0000,الحمقى ,Fools
3097,وايت 0000,وايت ,White
3098,بارك 0000,بارك ,Bless
3099,المجلس 0000,المجلس ,the Council
3100,النفس 0000,النفس ,self
3101,إجراء 0000,إجراء ,Procedure
3102,تعنيه 0000,تعنيه ,Be careful
3103,تأكد 0000,تأكد ,Make sure
3104,فرق 0000,فرق ,difference
3105,مفقود 0000,مفقود ,Missing
3106,بالواقع 0000,بالواقع ,In reality
3107,تكلم 0000,تكلم ,speak
3108,جاكي 0000,جاكي ,Jackie
3109,العقيد 0000,العقيد ,Colonel
3110,الطيور 0000,الطيور ,the birds
3111,بدور 0000,بدور ,In turn
3112,قبلة 0000,قبلة ,Kiss
3113,شريط 0000,شريط ,ribbon
3114,نبقى 0000,نبقى ,we stay
3115,الحادث 0000,الحادث ,the incident
3116,لايمكنني 0000,لايمكنني ,I can not
3117,سمعته 0000,سمعته ,I heard it
3118,آمنة 0000,آمنة ,Safe
3119,فلنذهب 0000,فلنذهب ,let's go
3120,نتائج 0000,نتائج ,consequences
3121,نيكي 0000,نيكي ,Nikki
3122,مؤخرة 0000,مؤخرة ,Rear
3123,المبلغ 0000,المبلغ ,the amount
3124,يبحثون 0000,يبحثون ,They are looking
3125,سنرى 0000,سنرى ,We'll see
3126,الحصان 0000,الحصان ,the horse
3127,مفتوحة 0000,مفتوحة ,Open
3128,الشجرة 0000,الشجرة ,the tree
3129,حوله 0000,حوله ,Convert
3130,الوقود 0000,الوقود ,Fuel
3131,تصرف 0000,تصرف ,behavior
3132,لسوء 0000,لسوء ,Badness
3133,جولي 0000,جولي ,Jolly
3134,ستبقى 0000,ستبقى ,You will stay
3135,لورين 0000,لورين ,Lauren
3136,الشعب 0000,الشعب ,People
3137,عديدة 0000,عديدة ,many
3138,تمر 0000,تمر ,Pass
3139,للعشاء 0000,للعشاء ,for dinner
3140,جمال 0000,جمال ,beauty
3141,المرضى 0000,المرضى ,The patients
3142,للغايه 0000,للغايه ,Extremely
3143,تقم 0000,تقم ,Cure
3144,فرانكي 0000,فرانكي ,Franki
3145,إي 0000,إي ,Which
3146,كأن 0000,كأن ,It was
3147,تهانينا 0000,تهانينا ,our end
3148,هه 0000,هه ,laugh
3149,أنجلوس 0000,أنجلوس ,Angeles
3150,إرسال 0000,إرسال ,send
3151,أذن 0000,أذن ,Ear
3152,قصير 0000,قصير ,short
3153,اتيت 0000,اتيت ,I came
3154,المجنون 0000,المجنون ,the crazy
3155,مائة 0000,مائة ,a hundred
3156,باي 0000,باي ,Bay
3157,تيم 0000,تيم ,Tim
3158,رصاصة 0000,رصاصة ,bullet
3159,السر 0000,السر ,the secret
3160,الأحداث 0000,الأحداث ,Events
3161,علامات 0000,علامات ,Signs
3162,سوداء 0000,سوداء ,Black
3163,الجرائم 0000,الجرائم ,Crime
3164,مسموح 0000,مسموح ,Permissible
3165,الهى 0000,الهى ,divine
3166,العقل 0000,العقل ,Mind
3167,والدها 0000,والدها ,her dad
3168,تستطع 0000,تستطع ,You can
3169,سحب 0000,سحب ,Withdrawal
3170,زواج 0000,زواج ,marriage
3171,وسيم 0000,وسيم ,Handsome
3172,طفلي 0000,طفلي ,My baby
3173,تصوير 0000,تصوير ,take photo
3174,يقوله 0000,يقوله ,He says
3175,إلـى 0000,إلـى ,To
3176,تأتى 0000,تأتى ,Come
3177,تشبه 0000,تشبه ,Like
3178,إيما 0000,إيما ,whatever
3179,إليكم 0000,إليكم ,To you
3180,المطر 0000,المطر ,the rain
3181,أشك 0000,أشك ,I suspect
3182,رايتشل 0000,رايتشل ,Rachel
3183,قومي 0000,قومي ,Nationalist
3184,ماتوا 0000,ماتوا ,They died
3185,أقترح 0000,أقترح ,suggest
3186,تحاولين 0000,تحاولين ,You are trying
3187,معرفته 0000,معرفته ,His knowledge
3188,بالذهاب 0000,بالذهاب ,By going
3189,النقطة 0000,النقطة ,the point
3190,تعنى 0000,تعنى ,Means
3191,ديك 0000,ديك ,rooster
3192,حية 0000,حية ,Alive
3193,لأرى 0000,لأرى ,To see
3194,هوية 0000,هوية ,identification
3195,آثار 0000,آثار ,antiquities
3196,نضع 0000,نضع ,we put
3197,الطقس 0000,الطقس ,the weather
3198,امك 0000,امك ,Your mother
3199,المخابرات 0000,المخابرات ,Intelligence
3200,يتطلب 0000,يتطلب ,Requires
3201,ضعيف 0000,ضعيف ,weak
3202,هاك 0000,هاك ,take
3203,my 0000,my ,My
3204,تحقق 0000,تحقق ,verification
3205,مميز 0000,مميز ,distinct
3206,ورقة 0000,ورقة ,paper
3207,مقدار 0000,مقدار ,amount
3208,الوداع 0000,الوداع ,Goodbye
3209,حديقة 0000,حديقة ,garden
3210,لايمكن 0000,لايمكن ,Not possible
3211,كعكة 0000,كعكة ,Cake
3212,سلام 0000,سلام ,Hello
3213,الجثث 0000,الجثث ,Bodies
3214,كارول 0000,كارول ,Carroll
3215,جوليا 0000,جوليا ,Julia
3216,العين 0000,العين ,Eye
3217,السفلي 0000,السفلي ,Lower
3218,المحطة 0000,المحطة ,Station
3219,عودي 0000,عودي ,Reciprocal
3220,المشي 0000,المشي ,Walking
3221,تمام 0000,تمام ,OK
3222,سيذهب 0000,سيذهب ,He will go
3223,بالجوار 0000,بالجوار ,In the vicinity
3224,طويلا 0000,طويلا ,long
3225,مارتي 0000,مارتي ,Marti
3226,التأكد 0000,التأكد ,making sure
3227,سيحصل 0000,سيحصل ,It will happen
3228,حولك 0000,حولك ,Around
3229,خاطئة 0000,خاطئة ,False
3230,حبي 0000,حبي ,My love
3231,المناسبة 0000,المناسبة ,Occasion
3232,بوضوح 0000,بوضوح ,clearly
3233,لنبدأ 0000,لنبدأ ,Let's Begin
3234,بلقائك 0000,بلقائك ,By meeting you
3235,نائب 0000,نائب ,Deputy
3236,مشكله 0000,مشكله ,Problem
3237,وغد 0000,وغد ,scoundrel
3238,الأمريكي 0000,الأمريكي ,American
3239,يعاني 0000,يعاني ,Suffers
3240,منزله 0000,منزله ,his house
3241,أراها 0000,أراها ,see her
3242,الموتى 0000,الموتى ,Dead
3243,عفوا 0000,عفوا ,Sorry
3244,لصالح 0000,لصالح ,Favor
3245,عامل 0000,عامل ,Worker
3246,كيتي 0000,كيتي ,Kitty
3247,أستمع 0000,أستمع ,I listen
3248,العليا 0000,العليا ,Supreme
3249,يستغرق 0000,يستغرق ,It takes
3250,قاعة 0000,قاعة ,Hall
3251,تمهل 0000,تمهل ,Slown down
3252,ساره 0000,ساره ,Sarah
3253,الطبيعي 0000,الطبيعي ,Normal
3254,أرأيت 0000,أرأيت ,I saw
3255,رئيسي 0000,رئيسي ,Main
3256,الزهور 0000,الزهور ,The flowers
3257,سآتي 0000,سآتي ,I will come
3258,وكأن 0000,وكأن ,As if
3259,استيقظ 0000,استيقظ ,He woke up
3260,كوكب 0000,كوكب ,planet
3261,اختفى 0000,اختفى ,disappear
3262,سلسلة 0000,سلسلة ,series
3263,أغلب 0000,أغلب ,most
3264,انهض 0000,انهض ,stand up
3265,علبة 0000,علبة ,can
3266,وحدك 0000,وحدك ,Alone
3267,القصص 0000,القصص ,Stories
3268,وجدوا 0000,وجدوا ,they found
3269,يقل 0000,يقل ,Decrease
3270,الخاتم 0000,الخاتم ,Ring
