nonsense,arabic,english 
الأسلحة 0000,الأسلحة ,Weapons
جيري 0000,جيري ,Limestone
جوني 0000,جوني ,Johnny
الشاحنة 0000,الشاحنة ,truck
واو 0000,واو ,wow
بمجرد 0000,بمجرد ,Once
أراه 0000,أراه ,I see it
كارل 0000,كارل ,Karl
لشخص 0000,لشخص ,For a person
أربع 0000,أربع ,Four
الأبيض 0000,الأبيض ,the White
السرعة 0000,السرعة ,the speed
تظنين 0000,تظنين ,You think
الأحيان 0000,الأحيان ,Sometimes
سبعة 0000,سبعة ,Seven
أمور 0000,أمور ,Matters
الصندوق 0000,الصندوق ,box
طائرة 0000,طائرة ,airplane
السادة 0000,السادة ,Gentlemen
تدخل 0000,تدخل ,intervention
مساعدتي 0000,مساعدتي ,Help me
التحكم 0000,التحكم ,control
روز 0000,روز ,Rose
التاريخ 0000,التاريخ ,Date
الافضل 0000,الافضل ,Better
it 0000,it ,It
التوقف 0000,التوقف ,Stop
لله 0000,لله ,Allah
الألم 0000,الألم ,the pain
الفكرة 0000,الفكرة ,The idea
إعتقدت 0000,إعتقدت ,I believed
حضرة 0000,حضرة ,presence
مشاهدة 0000,مشاهدة ,Watch
الضحية 0000,الضحية ,Victim
آلاف 0000,آلاف ,Thousand
الجلوس 0000,الجلوس ,Sitting
شارع 0000,شارع ,Street
دانيال 0000,دانيال ,Daniel
بالرغم 0000,بالرغم ,Though
كابتن 0000,كابتن ,captain
جيده 0000,جيده ,Good
الشباب 0000,الشباب ,Young
مرتين 0000,مرتين ,twice
الثانوية 0000,الثانوية ,high school
يوما 0000,يوما ,Day
بوسعي 0000,بوسعي ,Premature
وعلى 0000,وعلى ,and on
طبيعي 0000,طبيعي ,natural
انتهت 0000,انتهت ,Expired
زوج 0000,زوج ,Husband
يرى 0000,يرى ,be seen
دخلت 0000,دخلت ,I entered
الإنتظار 0000,الإنتظار ,Waiting
موافق 0000,موافق ,OK
صفقة 0000,صفقة ,Deal
مناسب 0000,مناسب ,Appropriate
مشغول 0000,مشغول ,Busy
فندق 0000,فندق ,hotel
حامل 0000,حامل ,pregnant
طريقه 0000,طريقه ,method
بناء 0000,بناء ,Building
بلدي 0000,بلدي ,My country
ميتة 0000,ميتة ,Dead
المفتاح 0000,المفتاح ,the key
سيارتي 0000,سيارتي ,My car
ماهي 0000,ماهي ,what is it
سان 0000,سان ,San
كايل 0000,كايل ,Kyle
شكل 0000,شكل ,appearance
زمن 0000,زمن ,time
الرحيل 0000,الرحيل ,Departure
القبيل 0000,القبيل ,Tribe
يجعلني 0000,يجعلني ,makes me
أعمال 0000,أعمال ,Business
يقتل 0000,يقتل ,Kills
نصل 0000,نصل ,blade
سهل 0000,سهل ,easy
كهذه 0000,كهذه ,Like this
اقصد 0000,اقصد ,I mean
صنع 0000,صنع ,Manufacture
نوعا 0000,نوعا ,something like
المسدس 0000,المسدس ,Pistol
صح 0000,صح ,true
الشخصية 0000,الشخصية ,Personal
هـل 0000,هـل ,Have
فرقة 0000,فرقة ,Squad
غاضبة 0000,غاضبة ,Angry
تعرفه 0000,تعرفه ,You know it
الدرجة 0000,الدرجة ,Degree
بالقرب 0000,بالقرب ,Near
خير 0000,خير ,Good
إبن 0000,إبن ,Son
كنتي 0000,كنتي ,You were
سو 0000,سو ,Soo
موت 0000,موت ,death
الأسود 0000,الأسود ,the black
الرئيسي 0000,الرئيسي ,the main
قتله 0000,قتله ,killers
النجدة 0000,النجدة ,Rescue
خذي 0000,خذي ,Take
يارفاق 0000,يارفاق ,you guys
صديقتي 0000,صديقتي ,My girlfriend
الحقيقية 0000,الحقيقية ,Real
توني 0000,توني ,Tony
تفعلينه 0000,تفعلينه ,Do it
يومين 0000,يومين ,Two days
أحسنت 0000,أحسنت ,I did well
منزلك 0000,منزلك ,Your home
إتفقنا 0000,إتفقنا ,We agreed
تكذب 0000,تكذب ,Deny
l 0000,l ,L
بقية 0000,بقية ,Rest
افكر 0000,افكر ,think
لعين 0000,لعين ,Cursed
وجد 0000,وجد ,is found
شخصا 0000,شخصا ,Person
أمل 0000,أمل ,hopefull
دخل 0000,دخل ,Enter
وداعا 0000,وداعا ,Farewell
يبحث 0000,يبحث ,seek
لكنهم 0000,لكنهم ,But they are
أقدر 0000,أقدر ,I can
يبدأ 0000,يبدأ ,Started
آخذ 0000,آخذ ,Taking
قادر 0000,قادر ,able
عميل 0000,عميل ,client
ذاهبة 0000,ذاهبة ,going
بشأنه 0000,بشأنه ,About it
تلعب 0000,تلعب ,Play
وحدة 0000,وحدة ,lonliness
تقدم 0000,تقدم ,progress
استمع 0000,استمع ,Listen
مـاذا 0000,مـاذا ,What
شراء 0000,شراء ,Buy
الرحلة 0000,الرحلة ,the trip
جميعنا 0000,جميعنا ,All of us
تطلب 0000,تطلب ,Ask
أقرب 0000,أقرب ,closer
نادي 0000,نادي ,club
السلام 0000,السلام ,Peace
ستكونين 0000,ستكونين ,You will be
خطير 0000,خطير ,dangerous
طول 0000,طول ,Length
أتعتقد 0000,أتعتقد ,Do you think
جاي 0000,جاي ,Jay
تمانع 0000,تمانع ,Objection
السيدات 0000,السيدات ,Ladies
قرأت 0000,قرأت ,I read
يمكنكم 0000,يمكنكم ,You can
الزفاف 0000,الزفاف ,wedding
عطلة 0000,عطلة ,vacation
الليله 0000,الليله ,Tonight
فيل 0000,فيل ,Elephant
الملازم 0000,الملازم ,Lieutenant
يد 0000,يد ,hand
اقوم 0000,اقوم ,I do
احاول 0000,احاول ,I'm trying
أتوقع 0000,أتوقع ,I expect
مجال 0000,مجال ,area
باب 0000,باب ,Door
للخروج 0000,للخروج ,To go out
هنـا 0000,هنـا ,Here
الجو 0000,الجو ,Atmosphere
شاب 0000,شاب ,guy
العظيم 0000,العظيم ,Great
الولد 0000,الولد ,the boy
يتوجب 0000,يتوجب ,It is necessary
جوي 0000,جوي ,aerial
قاموا 0000,قاموا ,They did
بالأمس 0000,بالأمس ,Yesterday
and 0000,and ,And
هيه 0000,هيه ,Hey
للحظة 0000,للحظة ,for a bit
توقفوا 0000,توقفوا ,Stop
زوجك 0000,زوجك ,your husband
أولاد 0000,أولاد ,children
عائلتك 0000,عائلتك ,your family
ذالك 0000,ذالك ,So
حياتنا 0000,حياتنا ,Our life
جيني 0000,جيني ,Genetic
الزمن 0000,الزمن ,Time
الشهر 0000,الشهر ,the month
النافذة 0000,النافذة ,the window
وكانت 0000,وكانت ,And it was
عمي 0000,عمي ,My uncle
لأحد 0000,لأحد ,To
فيك 0000,فيك ,in you
ترين 0000,ترين ,You see
ريد 0000,ريد ,Raid
الضغط 0000,الضغط ,the pressure
الثلج 0000,الثلج ,the snow
ابقى 0000,ابقى ,Keep
أمى 0000,أمى ,Mom
قائد 0000,قائد ,leader
شك 0000,شك ,Doubt
تنتظر 0000,تنتظر ,Await
وكذلك 0000,وكذلك ,As well
والدتي 0000,والدتي ,My mother
موضوع 0000,موضوع ,Theme
تعالى 0000,تعالى ,Come here
ا 0000,ا ,a
آسفه 0000,آسفه ,sorry
محظوظ 0000,محظوظ ,lucky
أقوى 0000,أقوى ,more powerful
ثمانية 0000,ثمانية ,eight
الكلمة 0000,الكلمة ,Word
تقرير 0000,تقرير ,a report
للخارج 0000,للخارج ,Abroad
توماس 0000,توماس ,Thomas
الغبي 0000,الغبي ,Stupid
توقفت 0000,توقفت ,I stopped
داعي 0000,داعي ,caller to
رباه 0000,رباه ,Rant
مدير 0000,مدير ,boss
الأحمر 0000,الأحمر ,the Red
يفعلون 0000,يفعلون ,They do
لوك 0000,لوك ,Lock
قديم 0000,قديم ,Old
والد 0000,والد ,father
أقدم 0000,أقدم ,Premature
الطاولة 0000,الطاولة ,Table
خرج 0000,خرج ,went out
النجوم 0000,النجوم ,stars
تذهبي 0000,تذهبي ,Go
سيأتي 0000,سيأتي ,Will come
تحركوا 0000,تحركوا ,Stir
سواء 0000,سواء ,whether
أسألك 0000,أسألك ,I ask you
وقعت 0000,وقعت ,Occurred
الاسبوع 0000,الاسبوع ,the week
سبيل 0000,سبيل ,Path
انة 0000,انة ,it's a
قليلة 0000,قليلة ,Few
الفضاء 0000,الفضاء ,outer space
ليو 0000,ليو ,Leo
الخوف 0000,الخوف ,the fear
سوية 0000,سوية ,Normal
ببساطة 0000,ببساطة ,Simply
رأيتها 0000,رأيتها ,her
بالمنزل 0000,بالمنزل ,At home
إما 0000,إما ,As for
تيد 0000,تيد ,Ted
غاضب 0000,غاضب ,Angry
قيمة 0000,قيمة ,Values
تأكيد 0000,تأكيد ,emphasis
القدر 0000,القدر ,fate
الحدود 0000,الحدود ,the border
ذكر 0000,ذكر ,Mention
الموقع 0000,الموقع ,Location
بدا 0000,بدا ,seem
أسئلة 0000,أسئلة ,Questions
الخطب 0000,الخطب ,Speeches
شديد 0000,شديد ,Intense
محل 0000,محل ,Shop
للهول 0000,للهول ,For the horror
التحقيق 0000,التحقيق ,Investigation
الأصدقاء 0000,الأصدقاء ,friends
محطة 0000,محطة ,Station
الأبد 0000,الأبد ,Forever
الجامعة 0000,الجامعة ,the University
آن 0000,آن ,that
حادث 0000,حادث ,accident
نيل 0000,نيل ,Nile
فتح 0000,فتح ,to open
الشاي 0000,الشاي ,Tea
الترجمة 0000,الترجمة ,Translation
الداخلية 0000,الداخلية ,Interior
الضابط 0000,الضابط ,Officer
تقصدين 0000,تقصدين ,You mean
فلم 0000,فلم ,film
فسوف 0000,فسوف ,It will
علامة 0000,علامة ,Marker
اسفة 0000,اسفة ,sorry
تستخدم 0000,تستخدم ,Use
المطبخ 0000,المطبخ ,Kitchen
بإمكاننا 0000,بإمكاننا ,We can
قهوة 0000,قهوة ,coffee
مجلس 0000,مجلس ,board
مفاجأة 0000,مفاجأة ,Surprise
بضع 0000,بضع ,A few
الجثة 0000,الجثة ,Corpse
ولهذا 0000,ولهذا ,And for this
آني 0000,آني ,that I
اول 0000,اول ,first
صعبة 0000,صعبة ,Difficult
اريدك 0000,اريدك ,I want you
تستحق 0000,تستحق ,Deserve
يقومون 0000,يقومون ,They do
تحديد 0000,تحديد ,Determine
فمك 0000,فمك ,your mouth
كلهم 0000,كلهم ,All of them
الرأس 0000,الرأس ,Head
الحالي 0000,الحالي ,Present
الغريب 0000,الغريب ,the stranger
كيت 0000,كيت ,Kate
خطوة 0000,خطوة ,a step
لفعل 0000,لفعل ,To do
حركة 0000,حركة ,a movement
إنظر 0000,إنظر ,Look
ستقوم 0000,ستقوم ,You will do
مكالمة 0000,مكالمة ,a call
نفعله 0000,نفعله ,Do it
بنفسه 0000,بنفسه ,By himself
فان 0000,فان ,Vanity
الكلاب 0000,الكلاب ,Dogs
مقابلة 0000,مقابلة ,an interview
قلقة 0000,قلقة ,Anxious
حي 0000,حي ,Neighborhood
آتي 0000,آتي ,came
كتب 0000,كتب ,Wrote
مكتبي 0000,مكتبي ,my office
مضت 0000,مضت ,Go
قصيرة 0000,قصيرة ,short
العلاج 0000,العلاج ,treatment
آلة 0000,آلة ,Machine
الصيف 0000,الصيف ,the summer
تحتاجين 0000,تحتاجين ,You need
ترتدي 0000,ترتدي ,Wearing
حقيبة 0000,حقيبة ,luggage
الفوضى 0000,الفوضى ,Chaos
إنتظري 0000,إنتظري ,Wait
السنوات 0000,السنوات ,the years
رأى 0000,رأى ,opinion
المراقبة 0000,المراقبة ,Monitoring
للقيام 0000,للقيام ,to do
لابأس 0000,لابأس ,There is nothing wrong
النبيذ 0000,النبيذ ,Wine
قف 0000,قف ,Stop
النهر 0000,النهر ,the river
بأنهم 0000,بأنهم ,They are
إشارة 0000,إشارة ,Signal
رأسه 0000,رأسه ,his head
لانه 0000,لانه ,Because he
الجزيرة 0000,الجزيرة ,The island
كاثرين 0000,كاثرين ,Catherine
أكل 0000,أكل ,food
تدفع 0000,تدفع ,Pushing
الأمريكية 0000,الأمريكية ,American
زالت 0000,زالت ,Disintegrate
بأكمله 0000,بأكمله ,entire
جدي 0000,جدي ,Grand
الاطفال 0000,الاطفال ,children
لمعرفة 0000,لمعرفة ,To find out
مر 0000,مر ,bitter
يعجبني 0000,يعجبني ,I like him
الثلاثة 0000,الثلاثة ,Three
ذكي 0000,ذكي ,Clever
ماء 0000,ماء ,Water
البرنامج 0000,البرنامج ,the program
السحر 0000,السحر ,Magic
الشكل 0000,الشكل ,the shape
والان 0000,والان ,And now
بأمر 0000,بأمر ,By order
أموت 0000,أموت ,I die
قدر 0000,قدر ,Saucepan
بسهولة 0000,بسهولة ,Easily
الحقير 0000,الحقير ,Despicable
لاشيء 0000,لاشيء ,no thing
لأنهم 0000,لأنهم ,because they are
قديمة 0000,قديمة ,An old
اتحدث 0000,اتحدث ,I speak
موقف 0000,موقف ,Attitude
أتكلم 0000,أتكلم ,I speak
الحقيبة 0000,الحقيبة ,Satchel
البحرية 0000,البحرية ,Navy
أفترض 0000,أفترض ,I assume
يهمني 0000,يهمني ,I care about
آنا 0000,آنا ,I
يدخل 0000,يدخل ,Enters
مارتن 0000,مارتن ,Martin
اتصال 0000,اتصال ,Contact
تفقد 0000,تفقد ,Lord
ر 0000,ر ,R
أغلق 0000,أغلق ,close
م 0000,م ,M
الموافقة 0000,الموافقة ,Approval
مطعم 0000,مطعم ,Resturant
مدة 0000,مدة ,Period
تقتل 0000,تقتل ,Kill
ملايين 0000,ملايين ,Millions
أخبره 0000,أخبره ,Tell him
يحمل 0000,يحمل ,He carries
الكاميرا 0000,الكاميرا ,Camera
الخامسة 0000,الخامسة ,Fifth
اخبرك 0000,اخبرك ,I tell you
البيض 0000,البيض ,eggs
قضيت 0000,قضيت ,I spent
الوجه 0000,الوجه ,the face
الكون 0000,الكون ,Universe
سفينة 0000,سفينة ,boat
عضو 0000,عضو ,member
البريد 0000,البريد ,Mail
بارد 0000,بارد ,cool
مستوى 0000,مستوى ,level
ابنك 0000,ابنك ,your son
أغنية 0000,أغنية ,Song
بطل 0000,بطل ,a hero
أضع 0000,أضع ,I put
بسيطة 0000,بسيطة ,Simple
أطول 0000,أطول ,Taller
اخبرني 0000,اخبرني ,tell me
عقلك 0000,عقلك ,Your mind
أعتقدت 0000,أعتقدت ,I believed
جدتي 0000,جدتي ,my grandmother
روح 0000,روح ,spirit
فعلنا 0000,فعلنا ,We did
أمزح 0000,أمزح ,I'm kidding
نقول 0000,نقول ,we say
الفيديو 0000,الفيديو ,the video
أخبرت 0000,أخبرت ,I told
أنى 0000,أنى ,that I
وجهه 0000,وجهه ,Face
ولكننا 0000,ولكننا ,But
وكأنه 0000,وكأنه ,As if
متن 0000,متن ,Nostalgia
كارتر 0000,كارتر ,Carter
انى 0000,انى ,that I
سريع 0000,سريع ,fast
رؤيته 0000,رؤيته ,His vision
قلبك 0000,قلبك ,your heart
قابلت 0000,قابلت ,I met
كذبت 0000,كذبت ,Lied
عقد 0000,عقد ,a necklace
جرى 0000,جرى ,he ran
الأسفل 0000,الأسفل ,lower
إسم 0000,إسم ,Noun
تأكل 0000,تأكل ,Eat
نكن 0000,نكن ,Weapon
احصل 0000,احصل ,Get
مكانه 0000,مكانه ,status
وقتك 0000,وقتك ,Your time
لعب 0000,لعب ,game
وحتى 0000,وحتى ,Even
شاهد 0000,شاهد ,See
للجميع 0000,للجميع ,For everyone
أنحاء 0000,أنحاء ,Parts
لتلك 0000,لتلك ,For that
غادر 0000,غادر ,He left
سأحضر 0000,سأحضر ,I will attend
تشارلز 0000,تشارلز ,Charles
يشبه 0000,يشبه ,Resembles
افتح 0000,افتح ,Open
متجر 0000,متجر ,a store
جثة 0000,جثة ,dead body
تخبريني 0000,تخبريني ,Tell me
انتهيت 0000,انتهيت ,I finished
تريدون 0000,تريدون ,You want
يعنى 0000,يعنى ,You know
تسمح 0000,تسمح ,Allow
مصدر 0000,مصدر ,source
كأنه 0000,كأنه ,As if
رأيتك 0000,رأيتك ,I saw you
أترك 0000,أترك ,Leave
ممتع 0000,ممتع ,Interesting
تعرفون 0000,تعرفون ,You know
اعطني 0000,اعطني ,Give me
كلام 0000,كلام ,Every mother
فظيع 0000,فظيع ,Horrible
عنهم 0000,عنهم ,About them
بربك 0000,بربك ,Rabbak
السادسة 0000,السادسة ,Sixth
جينا 0000,جينا ,Gina
طفلة 0000,طفلة ,baby girl
كفاية 0000,كفاية ,Adequacy
غادرت 0000,غادرت ,She left
مرض 0000,مرض ,illness
لدرجة 0000,لدرجة ,Degree
القاعدة 0000,القاعدة ,Al-Qaeda
دم 0000,دم ,blood
بفعل 0000,بفعل ,Action
مسرح 0000,مسرح ,stage
نأخذ 0000,نأخذ ,We take
وجدته 0000,وجدته ,I find it
تترك 0000,تترك ,Leave
فائدة 0000,فائدة ,benefit
تعنين 0000,تعنين ,Enemy
اعمل 0000,اعمل ,Work
قاعدة 0000,قاعدة ,Base
بقوة 0000,بقوة ,Strongly
لوحدي 0000,لوحدي ,alone
بعيدة 0000,بعيدة ,far
لايوجد 0000,لايوجد ,There is no
السبت 0000,السبت ,Saturday
سيارتك 0000,سيارتك ,Your car
الجيدة 0000,الجيدة ,Good
قولي 0000,قولي ,Tell me
قاله 0000,قاله ,He said it
عينيك 0000,عينيك ,Your eyes
احضر 0000,احضر ,Bring
جعلت 0000,جعلت ,Make
روبن 0000,روبن ,Robin
أحدكم 0000,أحدكم ,One of you
اهدأ 0000,اهدأ ,just chill
يتوقف 0000,يتوقف ,Stop
العلاقة 0000,العلاقة ,Relationship
افهم 0000,افهم ,I understand
التصوير 0000,التصوير ,Photography
أتساءل 0000,أتساءل ,I wonder
فمن 0000,فمن ,Not
القرار 0000,القرار ,the decision
المحيط 0000,المحيط ,Ocean
كانا 0000,كانا ,They were
عادت 0000,عادت ,She returned
تشاك 0000,تشاك ,Chuck
تثق 0000,تثق ,Trusted
ادخل 0000,ادخل ,Enter
شهور 0000,شهور ,Months
ياإلهي 0000,ياإلهي ,My God
تسأل 0000,تسأل ,Ask
جامعة 0000,جامعة ,University
ينجح 0000,ينجح ,Success
إياه 0000,إياه ,Its it
الموقف 0000,الموقف ,Situation
الهجوم 0000,الهجوم ,attack
جولة 0000,جولة ,a tour
سوء 0000,سوء ,Ill
تصدق 0000,تصدق ,Charity
هانا 0000,هانا ,Hana
بأكملها 0000,بأكملها ,Entirely
يدفع 0000,يدفع ,Pay
ستأتي 0000,ستأتي ,You will come
تجربة 0000,تجربة ,an experience
أدرك 0000,أدرك ,realized
بصراحة 0000,بصراحة ,Honestly
مريضة 0000,مريضة ,sick
الرابعة 0000,الرابعة ,Fourth
تفضلي 0000,تفضلي ,Help yourself
والده 0000,والده ,mother
هانك 0000,هانك ,Hank
نعتقد 0000,نعتقد ,Believe
الجمعة 0000,الجمعة ,Friday
ننتظر 0000,ننتظر ,we wait
نقل 0000,نقل ,Transfer
أتسائل 0000,أتسائل ,Wonder
اخذ 0000,اخذ ,Taking
الاسم 0000,الاسم ,The name
غبية 0000,غبية ,Stupid
الطرق 0000,الطرق ,Roads
يسمح 0000,يسمح ,Allow
حادثة 0000,حادثة ,incident
السهل 0000,السهل ,Plain
القدوم 0000,القدوم ,Arrival
عمره 0000,عمره ,Age
سابق 0000,سابق ,former
بقيت 0000,بقيت ,Remain
قادرة 0000,قادرة ,able
القارب 0000,القارب ,Boat
أبعد 0000,أبعد ,far
ضربة 0000,ضربة ,a hit
وسيلة 0000,وسيلة ,Instrument
للنوم 0000,للنوم ,To sleep
حياتها 0000,حياتها ,Her life
ضمن 0000,ضمن ,within
القائمة 0000,القائمة ,the list
للمساعدة 0000,للمساعدة ,for help
وقع 0000,وقع ,He fell
المركز 0000,المركز ,Center
المساء 0000,المساء ,Evening
إنقاذ 0000,إنقاذ ,rescue
علـى 0000,علـى ,On
استمر 0000,استمر ,continue
سآخذ 0000,سآخذ ,I'll take
سيقوم 0000,سيقوم ,He will do
الوحش 0000,الوحش ,the monster
حالا 0000,حالا ,Immediately
كلمات 0000,كلمات ,words
الارض 0000,الارض ,Earth
أدنى 0000,أدنى ,minimum
كلوي 0000,كلوي ,renal
أثر 0000,أثر ,Effect
fad 0000,fad ,FAD
تحبين 0000,تحبين ,You like
الثامنة 0000,الثامنة ,Eight
كيم 0000,كيم ,Kim
أساعدك 0000,أساعدك ,I help you
الحقيقه 0000,الحقيقه ,the truth
عزيزتى 0000,عزيزتى ,Darling
تبقي 0000,تبقي ,Stay
لوحة 0000,لوحة ,painting
تكونين 0000,تكونين ,You are
الاثنين 0000,الاثنين ,Monday
وبين 0000,وبين ,Between
احبك 0000,احبك ,I love you
وحيدة 0000,وحيدة ,Lonely
الفرق 0000,الفرق ,the difference
رايان 0000,رايان ,Ryan
مفتاح 0000,مفتاح ,a key
الكذب 0000,الكذب ,Lying
الرابع 0000,الرابع ,the fourth
تجاه 0000,تجاه ,towards
سوزان 0000,سوزان ,Susan
الشاطئ 0000,الشاطئ ,the beach
يسبق 0000,يسبق ,Precedent
السوداء 0000,السوداء ,Black
غاية 0000,غاية ,very
الحفل 0000,الحفل ,Ceremony
الهرب 0000,الهرب ,Escape
الثقة 0000,الثقة ,Confidence
أهو 0000,أهو ,Be
آدم 0000,آدم ,Adam
معجب 0000,معجب ,a fan
بيع 0000,بيع ,Sale
كافية 0000,كافية ,Adequate
اخرس 0000,اخرس ,silent
ضوء 0000,ضوء ,Light
الفوز 0000,الفوز ,the win
تجعلني 0000,تجعلني ,makes me
الكتب 0000,الكتب ,Books
أناس 0000,أناس ,People
آخرى 0000,آخرى ,Other
حظ 0000,حظ ,luck
بعدما 0000,بعدما ,After
عالية 0000,عالية ,High
أنتى 0000,أنتى ,you
شاحنة 0000,شاحنة ,Truck
عنوان 0000,عنوان ,Title
بالدخول 0000,بالدخول ,Entry
حلم 0000,حلم ,Dream
أصل 0000,أصل ,Origin
كلاهما 0000,كلاهما ,Both
ايتها 0000,ايتها ,O
أحيانا 0000,أحيانا ,sometimes
مليئة 0000,مليئة ,Filled
النادي 0000,النادي ,Club
ثق 0000,ثق ,Trust
نسخة 0000,نسخة ,Copy
ابحث 0000,ابحث ,Search
بالأسفل 0000,بالأسفل ,Below
عمر 0000,عمر ,Omar
القسم 0000,القسم ,Section
إبني 0000,إبني ,my son
قرار 0000,قرار ,resolution
ذاهبون 0000,ذاهبون ,They are going
عرف 0000,عرف ,He knew
الفور 0000,الفور ,Immediate
الرقيب 0000,الرقيب ,Sgt
محامي 0000,محامي ,Attorney
أرض 0000,أرض ,a land
زوجها 0000,زوجها ,Her husband
يرغب 0000,يرغب ,He wishes
سيداتي 0000,سيداتي ,Ladies
وكالة 0000,وكالة ,Agency
السن 0000,السن ,Age
ضابط 0000,ضابط ,officer
أرسلت 0000,أرسلت ,I sent
رائعا 0000,رائعا ,Wonderfully
لازلت 0000,لازلت ,I am still
عاما 0000,عاما ,General
المطاف 0000,المطاف ,Decent
الأكبر 0000,الأكبر ,the biggest
أعرفك 0000,أعرفك ,I know you
يتكلم 0000,يتكلم ,Speak
السيئة 0000,السيئة ,Bad
واثقة 0000,واثقة ,Confident
ضغط 0000,ضغط ,pressure
تري 0000,تري ,See
تسمعني 0000,تسمعني ,You hear me
الأموال 0000,الأموال ,Money
نعيش 0000,نعيش ,We live
ضرب 0000,ضرب ,Hit
اصبح 0000,اصبح ,had become
تغادر 0000,تغادر ,Leaving
رحل 0000,رحل ,Gone
آبي 0000,آبي ,My Father
ماما 0000,ماما ,my mom
لاري 0000,لاري ,Brilliant
المسرح 0000,المسرح ,The theater
الكوكب 0000,الكوكب ,Planet
مثله 0000,مثله ,like him
ويجب 0000,ويجب ,And it must
للأسف 0000,للأسف ,Unfortunately
المطعم 0000,المطعم ,Restaurant
إلهى 0000,إلهى ,divine
فإنه 0000,فإنه ,It is
أجلس 0000,أجلس ,Sit
وجهة 0000,وجهة ,Destination
التفاصيل 0000,التفاصيل ,the details
صديقتك 0000,صديقتك ,Your girlfriend
مؤخرتك 0000,مؤخرتك ,your butt
مصاب 0000,مصاب ,Injured
مدهش 0000,مدهش ,Amazing
تخبر 0000,تخبر ,Inform
يستخدم 0000,يستخدم ,Uses
أرجو 0000,أرجو ,Please
الملكة 0000,الملكة ,the Queen
أسود 0000,أسود ,black
هرب 0000,هرب ,to flee
مازالت 0000,مازالت ,still
الحلوى 0000,الحلوى ,Candy
هاتفي 0000,هاتفي ,My phone
البوابة 0000,البوابة ,the gate
وأعتقد 0000,وأعتقد ,And I think
قيادة 0000,قيادة ,Leadership
الحد 0000,الحد ,Limit
الحانة 0000,الحانة ,bar
التحقيقات 0000,التحقيقات ,Investigations
مشكلتك 0000,مشكلتك ,Your problem
الحين 0000,الحين ,now
يرتدي 0000,يرتدي ,Wears
جيف 0000,جيف ,Jeff
جوش 0000,جوش ,Josh
الطيران 0000,الطيران ,Aviation
اشياء 0000,اشياء ,Things
المفاتيح 0000,المفاتيح ,Keys
المرح 0000,المرح ,Fun
وان 0000,وان ,and that
ولدي 0000,ولدي ,And I have
بالشرطة 0000,بالشرطة ,Police
عملنا 0000,عملنا ,Our work
أهمية 0000,أهمية ,Importance
بداخل 0000,بداخل ,inside of
الم 0000,الم ,Pain
جميعكم 0000,جميعكم ,all of you
عنا 0000,عنا ,About us
بو 0000,بو ,father
انتى 0000,انتى ,female
يـا 0000,يـا ,Oh
مسدس 0000,مسدس ,pistol
يعتقدون 0000,يعتقدون ,They believe
تذهبين 0000,تذهبين ,You go
سقط 0000,سقط ,He fell
سيصبح 0000,سيصبح ,It will become
أذكر 0000,أذكر ,I remember
روس 0000,روس ,Russian
بدلا 0000,بدلا ,instead of
نملك 0000,نملك ,We have
سئ 0000,سئ ,Bad
يظن 0000,يظن ,Thinking
جاين 0000,جاين ,Jain
ابقي 0000,ابقي ,Keep
قنبلة 0000,قنبلة ,bomb
أحبه 0000,أحبه ,love it
وقتا 0000,وقتا ,Time
جيسي 0000,جيسي ,Jesse
العامة 0000,العامة ,the public
الرحب 0000,الرحب ,Spacious
الشريط 0000,الشريط ,Ribbon
كاليفورنيا 0000,كاليفورنيا ,California
كتبت 0000,كتبت ,I wrote
ممارسة 0000,ممارسة ,Exercise
بالإمكان 0000,بالإمكان ,It is possible
عندنا 0000,عندنا ,Our
تعطيني 0000,تعطيني ,Give me
النهار 0000,النهار ,Day
أتت 0000,أتت ,Came
فحص 0000,فحص ,to examine
قرب 0000,قرب ,near
كيلي 0000,كيلي ,Kelly
كول 0000,كول ,Cole
يستطيعون 0000,يستطيعون ,They can
يساعد 0000,يساعد ,Assist
لكنى 0000,لكنى ,But
لوقت 0000,لوقت ,Time
تحضر 0000,تحضر ,Attend
الثمن 0000,الثمن ,The price
تنسى 0000,تنسى ,Forgotten
تقديم 0000,تقديم ,Submit
يعتمد 0000,يعتمد ,He approves
الصفقة 0000,الصفقة ,Deal
المسؤول 0000,المسؤول ,Administrator
سانتا 0000,سانتا ,Santa
تعالوا 0000,تعالوا ,Come
شيكاغو 0000,شيكاغو ,Chicago
دعنى 0000,دعنى ,Call
واشنطن 0000,واشنطن ,Washington
تحقيق 0000,تحقيق ,Investigation
بدأنا 0000,بدأنا ,We started
المعركة 0000,المعركة ,Battle
إخباري 0000,إخباري ,news-
أعنى 0000,أعنى ,I mean
تأثير 0000,تأثير ,Effect
اصمت 0000,اصمت ,I am quiet
الراحة 0000,الراحة ,Comforts
جميعهم 0000,جميعهم ,All of them
الوظيفة 0000,الوظيفة ,Function
المفضلة 0000,المفضلة ,Favorite
سيفعل 0000,سيفعل ,He will do
هيئة 0000,هيئة ,body
اللون 0000,اللون ,the color
معروف 0000,معروف ,a favour
يلعب 0000,يلعب ,Play
بالحقيقة 0000,بالحقيقة ,In fact
ولاية 0000,ولاية ,state
عشاء 0000,عشاء ,dinner
بجد 0000,بجد ,seriously
تأخرت 0000,تأخرت ,Delayed
لاحظت 0000,لاحظت ,I noticed
أسفة 0000,أسفة ,sorry
إذهبي 0000,إذهبي ,Go
